year,month,period,ncm,ncm_bucket,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,1,1997-01-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",12140,14922,151009,7200,708,158917,12.438962,1.22916,10.11989,2
1997,1,1997-01-01,64041100,"6404.11.00 - Sports footwear, textile upper",133452,104822,3719952,56186,33623,3809761,27.874831,0.785466,35.488275,5
1997,2,1997-02-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",111396,101677,978825,73329,3040,1055194,8.786895,0.912753,9.626808,14
1997,2,1997-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",208076,201680,5313612,83858,45546,5443016,25.536881,0.969261,26.346747,29
1997,3,1997-03-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",54482,44031,648719,26032,2449,677200,11.907034,0.808175,14.733233,11
1997,3,1997-03-01,64041100,"6404.11.00 - Sports footwear, textile upper",290154,210686,6584595,128404,53803,6766802,22.693449,0.726118,31.253121,32
1997,4,1997-04-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",153736,125824,1830518,82127,7322,1919967,11.906892,0.818442,14.548242,18
1997,4,1997-04-01,64041100,"6404.11.00 - Sports footwear, textile upper",320457,248494,8515948,150265,76242,8742455,26.574386,0.775436,34.270236,27
1997,5,1997-05-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",44101,34850,576385,24924,3025,604334,13.069658,0.790232,16.539024,12
1997,5,1997-05-01,64041100,"6404.11.00 - Sports footwear, textile upper",291074,219193,7702620,141321,65882,7909823,26.462755,0.753049,35.140812,28
1997,6,1997-06-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",118507,91037,1518229,63410,5969,1587608,12.811302,0.768199,16.677054,15
1997,6,1997-06-01,64041100,"6404.11.00 - Sports footwear, textile upper",278739,217723,7227953,96653,64508,7389114,25.9309,0.7811,33.19793,24
1997,7,1997-07-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",66988,53404,806169,28056,1871,836096,12.034529,0.797217,15.095667,18
1997,7,1997-07-01,64041100,"6404.11.00 - Sports footwear, textile upper",222702,172850,6100675,191059,57102,6348836,27.393894,0.776149,35.29462,25
1997,8,1997-08-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",80181,70414,868280,39705,2376,910361,10.828999,0.878188,12.331071,17
1997,8,1997-08-01,64041100,"6404.11.00 - Sports footwear, textile upper",291860,247758,7437311,146370,62811,7646492,25.482461,0.848893,30.018449,22
1997,9,1997-09-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",156615,128405,1632225,73838,5542,1711605,10.421894,0.819877,12.711538,14
1997,9,1997-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",352408,299268,8408339,193128,45283,8646750,23.859671,0.849209,28.096352,26
1997,10,1997-10-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",106368,89241,1022795,40984,1591,1065370,9.615627,0.838984,11.461044,15
1997,10,1997-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",474851,409055,11229037,269013,58303,11556353,23.647496,0.861439,27.451167,40
1997,11,1997-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",64392,52977,684576,24602,1599,710777,10.631383,0.822726,12.922136,14
1997,11,1997-11-01,64041100,"6404.11.00 - Sports footwear, textile upper",291594,253234,5637994,141360,25245,5804599,19.335082,0.868447,22.263969,29
1997,12,1997-12-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",16103,12880,174809,14655,343,189807,10.855679,0.799851,13.572127,13
1997,12,1997-12-01,64041100,"6404.11.00 - Sports footwear, textile upper",166888,149351,3621317,72264,18579,3712160,21.699086,0.894918,24.247022,25
1998,1,1998-01-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",55839,44549,554040,24806,1759,580605,9.922097,0.797812,12.436643,12
1998,1,1998-01-01,64041100,"6404.11.00 - Sports footwear, textile upper",85158,79046,1906667,52763,9795,1969225,22.389758,0.928228,24.12098,22
1998,2,1998-02-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",57089,48027,555430,26715,1833,583978,9.729195,0.841265,11.564953,13
1998,2,1998-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",107298,92436,2315996,53828,12379,2382203,21.584708,0.861489,25.05513,17
1998,3,1998-03-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",66005,60997,703552,21506,1615,726673,10.659071,0.924127,11.534207,13
1998,3,1998-03-01,64041100,"6404.11.00 - Sports footwear, textile upper",271518,241158,5680294,111350,33307,5824951,20.920506,0.888184,23.554242,28
1998,4,1998-04-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",74913,65999,925907,35650,2838,964395,12.359764,0.881009,14.029107,15
1998,4,1998-04-01,64041100,"6404.11.00 - Sports footwear, textile upper",152861,132006,2849289,76347,15061,2940697,18.639738,0.863569,21.584542,18
1998,5,1998-05-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",79946,69385,797346,38837,2415,838598,9.973557,0.867898,11.491619,11
1998,5,1998-05-01,64041100,"6404.11.00 - Sports footwear, textile upper",283215,242452,5799418,142576,34940,5976934,20.477086,0.85607,23.91986,34
1998,6,1998-06-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",10395,10694,110830,2143,14,112987,10.661857,1.028764,10.363755,8
1998,6,1998-06-01,64041100,"6404.11.00 - Sports footwear, textile upper",202019,177701,4183992,88186,25334,4297512,20.710884,0.879625,23.545124,20
1998,7,1998-07-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",63188,49741,598614,35817,2012,636443,9.473539,0.787191,12.034619,15
1998,7,1998-07-01,64041100,"6404.11.00 - Sports footwear, textile upper",181356,157587,3896708,56749,22527,3975984,21.486513,0.868937,24.727344,21
1998,8,1998-08-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",50359,44120,368998,17598,610,387206,7.32735,0.87611,8.363509,12
1998,8,1998-08-01,64041100,"6404.11.00 - Sports footwear, textile upper",141580,128126,2442303,53795,12861,2508959,17.250339,0.904972,19.061728,18
1998,9,1998-09-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",69286,55120,632911,26703,1708,661322,9.13476,0.795543,11.48242,14
1998,9,1998-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",302832,264876,5626182,94691,36574,5757447,18.578558,0.874663,21.240815,27
1998,10,1998-10-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",87038,71499,763540,39090,2806,805436,8.77249,0.821469,10.67903,9
1998,10,1998-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",228311,191095,4114830,90871,22617,4228318,18.022916,0.836994,21.532902,22
1998,11,1998-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",88368,78803,770860,35130,1773,807763,8.723293,0.891759,9.782115,14
1998,11,1998-11-01,64041100,"6404.11.00 - Sports footwear, textile upper",235906,201846,4499200,77627,22072,4598899,19.072003,0.85562,22.290261,22
1998,12,1998-12-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",42161,29411,269947,13181,612,283740,6.402766,0.697588,9.178437,11
1998,12,1998-12-01,64041100,"6404.11.00 - Sports footwear, textile upper",235516,208881,4852374,62950,27641,4942965,20.603161,0.886908,23.230327,20
1999,1,1999-01-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",36985,38343,320263,7629,0,327892,8.659267,1.036718,8.352581,6
1999,1,1999-01-01,64041100,"6404.11.00 - Sports footwear, textile upper",103511,90729,1883574,35380,9565,1928519,18.196849,0.876516,20.76044,24
1999,2,1999-02-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",24103,22017,267903,15197,1525,284625,11.114923,0.913455,12.168007,9
1999,2,1999-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",73109,66970,1477644,13810,8427,1499881,20.21152,0.916029,22.064268,7
1999,3,1999-03-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",25699,26725,214754,8725,19,223498,8.356512,1.039924,8.035697,9
1999,3,1999-03-01,64041100,"6404.11.00 - Sports footwear, textile upper",57637,51270,1228626,16685,6483,1251794,21.31662,0.889533,23.963839,15
1999,4,1999-04-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",67925,62039,546433,28789,1980,577202,8.044652,0.913346,8.807895,7
1999,4,1999-04-01,64041100,"6404.11.00 - Sports footwear, textile upper",118322,98473,2344936,29998,12235,2387169,19.818259,0.832246,23.812984,13
1999,5,1999-05-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",39865,39197,319437,10347,371,330155,8.012969,0.983243,8.149527,9
1999,5,1999-05-01,64041100,"6404.11.00 - Sports footwear, textile upper",124291,108544,2094914,41114,11603,2147631,16.854913,0.873305,19.300136,20
1999,6,1999-06-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",44876,40126,342496,9504,470,352470,7.632053,0.894153,8.535513,10
1999,6,1999-06-01,64041100,"6404.11.00 - Sports footwear, textile upper",41318,36967,739340,10805,3974,754119,17.893896,0.894695,20.0,10
1999,7,1999-07-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",8736,8630,63747,1192,0,64939,7.297047,0.987866,7.386674,7
1999,7,1999-07-01,64041100,"6404.11.00 - Sports footwear, textile upper",24241,22042,404828,7705,1920,414453,16.700136,0.909286,18.36621,6
1999,8,1999-08-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",71256,71540,523493,11031,223,534747,7.346652,1.003986,7.317487,12
1999,8,1999-08-01,64041100,"6404.11.00 - Sports footwear, textile upper",23672,22373,165066,9822,327,175215,6.973048,0.945125,7.377911,12
1999,9,1999-09-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",106188,96032,891608,36385,300,928293,8.396504,0.904358,9.284489,9
1999,9,1999-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",27968,49666,330617,24720,3011,358348,11.82126,1.775815,6.656807,11
1999,10,1999-10-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",35850,34148,269358,8887,547,278792,7.513473,0.952524,7.887958,10
1999,10,1999-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",28379,33751,258443,20114,1153,279710,9.10684,1.189295,7.657343,11
1999,11,1999-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",49430,46689,427523,17110,705,445338,8.649059,0.944548,9.156825,13
1999,11,1999-11-01,64041100,"6404.11.00 - Sports footwear, textile upper",10371,9126,168619,7575,356,176550,16.258702,0.879954,18.47677,15
1999,12,1999-12-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",17664,17641,125900,2796,57,128753,7.127491,0.998698,7.136784,8
1999,12,1999-12-01,64041100,"6404.11.00 - Sports footwear, textile upper",21279,20565,305681,9228,192,315101,14.365384,0.966446,14.864138,15
